Asset Event History,,,,,,,,
Lists the event history within the specified period for the selected assets,,,,,,,,
Report Parameters,,,,,,,,
StartTimeFilter: 01/12/2017 00:01:00 GMT,,,,,,,,
EndTimeFilter: 06/12/2017 05:23:00 GMT,,,,,,,,
"SelectedEventTypes: CAN Periodic,Command Response,Digital Input 8 Off,Digital Input 8 On,Driving Duration Violation,External Power Loss,External Power Restore,Geofence Entry,Geofence Exit,Heartbeat,Idle End,Idle Start,Ignition Off,Ignition On,Journey Periodic,Journey Summary,Normal Mode On,Overspeed End,Overspeed Start,Poll Response,Position Report,Power Up,Service Mode On,Start Moving,Stop Moving,Tag In,Tag Out,Terminal Connected,Terminal Disconnected,Towing",,,,,,,,
Timezone: GMT,,,,,,,,
GeoReferenceSystem: Global,,,,,,,,
Language: English,,,,,,,,
Asset,Event,Event Type,Event Time,Position,Position URL,Odometer,Speed,Geo Reference
DXB 45539,Heartbeat,Heartbeat,04/12/2017 20:00:00 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,04/12/2017 08:00:00 GMT,"25.007299øN, 55.107300øE","25.007299øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,03/12/2017 20:00:00 GMT,"25.007299øN, 55.107300øE","25.007299øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,03/12/2017 08:00:00 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,02/12/2017 20:00:00 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,02/12/2017 08:00:00 GMT,"25.007200øN, 55.107201øE","25.007200øN, 55.107201øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Power Up,Power Up,01/12/2017 20:05:10 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,01/12/2017 20:02:10 GMT,"25.007299øN, 55.107300øE","25.007299øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE *"
DXB 45539,Heartbeat,Heartbeat,01/12/2017 20:01:47 GMT,"25.007299øN, 55.107201øE","25.007299øN, 55.107201øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE *"
DXB 45539,Heartbeat,Heartbeat,01/12/2017 20:01:23 GMT,"25.007299øN, 55.107201øE","25.007299øN, 55.107201øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE *"
DXB 45539,Heartbeat,Heartbeat,01/12/2017 20:00:00 GMT,"25.007299øN, 55.107300øE","25.007299øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Power Up,Power Up,01/12/2017 14:46:40 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,01/12/2017 08:00:00 GMT,"25.007099øN, 55.107498øE","25.007099øN, 55.107498øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Count: 16,,Range: 01/12/2017 08:00:00 GMT to 05/12/2017 20:00:00 GMT,,,,,
DXB 46098,,,,,,,,
DXB 68459,,,,,,,,
DXB 69585,,,,,,,,
